id,house_ln,house_la,subway,bus_stop,park,scenery,street,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,subway_station,new_price
6090,-74.00525,40.7353,1,5,1,19,New York,Entire home/apt,1,1,1,1,Real Bed,1,27,97,1,0,0,2.282,within a day,1,1,1,West Village,120,,3600,6.352,20.684,13.866,8.315,0.832,16.761,22.575,17.862,19.231,22.098,21.563,11.831,6.034,6.099,2.247,5.777,3.725,3.124,2.573,3.058,3.302,5.426,3.276,3.271,1.459,0.938,6.695,2.356,2.773,71.777,8.8,1.972,2.71,2.724,3.853,3.625,5.579,3.501,244.517,3.419,0.287,0.51,0.519,0.058,0.233,0.368,1,120
7097,-73.97185,40.69169,0,7,1,6,Brooklyn,Entire home/apt,4,1,1,2,Real Bed,2,195,97,1,0,0,1.8669,within an hour,3,1,1,Fort Greene,215,,,10.39,24.046,12.27,2.914,4.853,19.391,24.429,12.256,13.686,16.533,15.975,10.304,9.769,6.136,6.454,9.972,7.776,7.556,4.215,6.802,8.488,9.165,2.698,3.5,5.698,4.712,11.033,3.345,6.892,76.539,12.905,6.662,7.336,4.071,7.981,6.636,9.914,7.446,249.294,7.53,0.582,0.589,0.645,0.195,0.212,0.261,0,215
7750,-73.94872,40.79685,3,10,1,10,New York,Entire home/apt,4,1,2,2,Real Bed,1,0,0,1,0,0,1.0669,within a few hours,2,1,0,East Harlem,190,,,2.103,12.418,11.09,14.709,8.406,8.493,14.539,22.586,23.188,26.027,26.626,20.154,2.306,14.434,6.171,2.707,4.626,5.216,10.795,5.46,5.651,2.928,10.848,11.299,7.095,8.534,2.286,9.947,5.62,64.851,1.665,6.365,5.639,10.913,4.486,5.313,2.993,4.889,237.571,4.935,0.36,0.428,0.589,0.142,0.152,0.261,2,190
7801,-73.95718,40.71842,1,0,1,14,Brooklyn,Entire home/apt,4,1,1,2,Real Bed,1,9,98,1,0,0,0.9601,N/A,0,0,0,Williamsburg,299,,,7.472,20.842,10.09,5.975,3.654,16.173,21.286,14.382,15.424,18.317,18.31,13.043,6.791,8.048,4.134,7.133,5.09,5.08,4.763,4.17,6.333,6.225,3.628,4.567,3.726,3.59,8.192,3.354,4.405,73.563,9.92,4.529,5.001,4.728,5.298,3.762,7.134,4.768,246.301,4.908,0.127,0.757,0.792,0.552,0.575,0.661,1,299
8024,-73.97706,40.68069,9,5,1,5,Brooklyn,Private room,4,3.5,1,2,Real Bed,2,128,93,0,1,0,0.9893,within a few hours,2,0.92,0,Park Slope,130,900,2400,11.632,25.345,13.229,1.794,5.831,20.687,25.689,11.488,13.084,15.884,15.075,9.329,11.027,5.771,7.608,11.198,8.984,8.723,4.709,8.01,9.564,10.417,3.333,3.885,6.803,5.683,12.255,4.172,8.071,77.768,14.157,7.771,8.475,4.541,9.186,7.889,11.127,8.655,250.526,8.727,0.166,0.362,0.362,0.108,0.163,0.44,5,80
8490,-73.94028,40.68371,2,13,1,0,Brooklyn,Entire home/apt,5,1,1,4,Real Bed,4,85,96,1,0,0,1.7837,within an hour,3,1,1,Bedford-Stuyvesant,120,1000,3500,11.517,24.256,10.446,3.203,7.111,19.307,23.818,10.268,11.383,14.27,14.203,12.306,10.807,8.814,8.179,11.214,9.204,9.175,6.957,8.28,10.359,10.271,5.428,6.288,7.623,6.994,12.265,5.904,8.496,77.443,13.896,8.518,9.064,6.826,9.412,7.863,11.231,8.882,250.144,9.021,0.424,0.93,0.939,0.12,0.173,0.179,1,120
8505,-73.97519,40.65599,0,4,1,0,Brooklyn,Private room,2,1,1,1,Real Bed,1,18,98,0,1,0,0.7843,within an hour,3,1,1,Windsor Terrace,60,,,14.367,27.933,14.665,1.156,8.528,23.166,27.941,9.311,11.188,13.854,12.634,8.634,13.749,6.921,10.358,13.941,11.732,11.473,7.101,10.758,12.29,13.145,5.913,6.243,9.544,8.378,15,6.821,10.822,80.512,16.885,10.512,11.222,6.922,11.935,10.615,13.875,11.403,253.269,11.477,0.581,0.607,1.158,0.118,0.317,0.442,0,90
8700,-73.92639,40.86754,1,4,0,0,New York,Private room,2,1,1,1,Real Bed,1,0,0,0,1,0,1.1587,N/A,0,0,0,Inwood,80,350,1500,9.822,4.794,15.936,22.757,16.333,4.561,9.937,30.114,30.417,33.158,34.182,27.926,10.291,22.182,14.106,10.371,12.558,13.053,18.678,13.463,13.028,10.922,18.877,19.256,15.035,16.471,9.444,17.953,13.56,57.059,7.333,14.206,13.44,18.812,12.387,13.387,10.555,12.853,229.695,12.859,0.24,0.549,0.715,0.222,0.248,0.362,1,80
9357,-73.98533,40.76715,8,18,1,20,New York,Entire home/apt,2,1,1,1,Real Bed,2,58,90,1,0,0,4.3095,within a day,1,1,0,Hell's Kitchen,150,1000,2800,2.458,16.775,12.552,11.375,4.164,13.008,18.991,20.293,21.316,24.208,24.198,15.739,2.293,9.997,2.039,1.867,0.902,0.918,6.468,1.745,1.329,1.797,6.821,7.081,2.919,4.309,2.787,5.865,1.576,68.172,4.883,2.01,1.24,6.606,0.731,2.303,1.66,1.178,240.931,1.01,0.311,0.328,0.481,0.055,0.085,0.124,3,150
9668,-73.95104,40.82245,1,22,0,4,New York,Private room,2,1,1,1,Futon,1,241,87,0,1,0,0.9558,within an hour,3,0.82,0,Hamilton Heights,50,,,4.4,10.021,13.07,17.519,10.908,6.971,13.256,25.418,25.973,28.797,29.464,22.52,4.907,16.776,8.684,4.946,7.14,7.627,13.253,8.059,7.658,5.533,13.47,13.833,9.613,11.047,4.036,12.54,8.141,62.001,1.921,8.78,8.015,13.387,6.966,8.037,5.133,7.441,234.728,7.439,0.227,0.46,0.581,0.166,0.189,0.193,2,49
