id,house_ln,house_la,subway,bus_stop,park,scenery,borough,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,Brooklyn,Manhattan,Queens,Staten,Bronx,ave_price,Price_avg,True_price,Predict_price,errors
30908379,-73.9425,40.80239,3,16,1,6,Manhattan,Entire home/apt,6,2,3,4,Real Bed,1,12,100,1,0,0,2.4892,within an hour,3,1,0,East Harlem,155,,,2.9,11.64,11.043,15.39,9.2,7.688,13.756,23.096,23.631,26.453,27.147,20.955,3.109,15.238,6.968,3.506,5.427,6.023,11.592,6.246,6.447,3.726,11.619,12.086,7.889,9.327,2.998,10.726,6.417,64.246,1.784,7.17,6.447,11.708,5.289,6.067,3.785,5.685,236.949,5.736,0.425,0.456,0.601,0.119,0.214,0.282,0,1,0,0,0,62.77,inf,155,292.47635,137.47634887695312
2683455,-73.92089,40.74749,1,5,0,4,Queens,Entire home/apt,9,1.5,4,6,Real Bed,5,4,95,1,0,0,0.9628,,0,0,0,Sunnyside,155,,,5.78,16.985,6.804,10,6.701,12.045,16.883,16.788,17.262,20.084,20.851,17.469,5.03,12.271,5.439,5.817,5.029,5.558,8.676,4.777,7.001,4.809,7.886,8.729,5.842,6.736,6.62,7.335,5.21,70.414,7.543,5.962,5.826,8.7,5.145,3.97,6.016,4.899,243.042,5.116,0.489,0.527,0.795,0.422,0.445,0.451,0,0,1,0,0,39.08,inf,155,338.16815,183.16815185546875
30915351,-73.94929,40.77199,0,16,1,19,Manhattan,Entire home/apt,6,1,2,3,Real Bed,5,1,80,1,0,0,0.9315,within a day,1,0.5,0,Upper East Side,153,,,2.163,14.984,9.819,11.962,6.11,10.649,16.346,19.895,20.581,23.441,23.921,17.848,1.436,12.21,3.988,2.292,2.66,3.351,8.491,3.178,4.411,1.425,8.33,8.888,4.836,6.218,2.999,7.481,3.479,67.614,4.108,4.34,3.773,8.586,2.627,2.778,2.546,2.786,240.336,2.928,0.91,0.989,1.3,0.077,0.124,0.127,0,1,0,0,0,62.77,inf,153,256.83035,103.83035278320312
14949281,-73.98812,40.75863,12,3,2,20,Manhattan,Private room,2,1,1,1,Real Bed,1,158,90,0,1,0,9.9753,within an hour,3,0.8,0,Times Square/Theatre District,40,,,3.383,17.715,12.588,10.467,3.188,13.858,19.774,19.509,20.599,23.492,23.383,14.799,3.105,9.063,1.114,2.81,0.936,0.254,5.501,1.132,1.269,2.528,5.85,6.106,1.953,3.333,3.76,4.892,0.782,69.126,5.848,1.035,0.264,5.637,0.977,1.9,2.626,0.921,241.884,0.717,0.2,0.335,0.364,0.212,0.362,0.474,0,1,0,0,0,62.77,inf,40,150.14165,110.14164733886719
10833173,-73.95761,40.71414,1,3,1,12,Brooklyn,Entire home/apt,4,1,2,2,Real Bed,2,0,0,1,0,0,0.9672,,0,0,0,Williamsburg,110,,,7.94,21.308,10.247,5.501,3.827,16.622,21.693,13.952,15.03,17.922,17.867,12.716,7.263,7.835,4.512,7.594,5.529,5.49,4.69,4.597,6.706,6.693,3.447,4.411,4.039,3.747,8.654,3.3,4.812,74.039,10.394,4.883,5.39,4.638,5.738,4.218,7.59,5.204,246.778,5.338,0.357,0.543,0.618,0.082,0.208,0.484,1,0,0,0,0,45.97,inf,110,216.0275,106.02749633789062
9967218,-73.96433,40.68715,2,10,1,4,Brooklyn,Entire home/apt,4,1,2,2,Real Bed,1,4,100,1,0,0,1.8669,,0,0,0,Clinton Hill,75,,,10.896,24.349,11.941,2.447,5.597,19.606,24.503,11.497,12.892,15.745,15.255,10.611,10.248,6.769,7.084,10.504,8.342,8.168,5.023,7.372,9.165,9.658,3.509,4.297,6.371,5.46,11.568,4.14,7.495,77.039,13.387,7.326,7.973,4.878,8.549,7.138,10.465,8.011,249.788,8.109,0.236,0.407,0.451,0.084,0.184,0.325,1,0,0,0,0,45.97,inf,75,175.09384,100.09384155273438
32050937,-73.96268,40.71606,0,2,1,13,Brooklyn,Entire home/apt,6,1,2,4,Real Bed,4,12,100,1,0,0,0.9672,within a few hours,2,1,0,Williamsburg,150,,,7.69,21.23,10.603,5.65,3.35,16.608,21.771,14.313,15.433,18.324,18.205,12.519,7.034,7.519,4.116,7.318,5.206,5.125,4.274,4.256,6.3,6.448,3.101,4.047,3.599,3.269,8.382,2.873,4.444,73.825,10.172,4.465,5.002,4.232,5.415,3.941,7.298,4.878,246.571,5,0.509,0.952,1.016,0.344,0.478,0.765,1,0,0,0,0,45.97,inf,150,271.47357,121.47357177734375
18993379,-74.13566,40.61357,0,1,0,0,Staten,Entire home/apt,5,2.5,3,4,Real Bed,2,1,100,1,0,0,0.5139,within an hour,3,1,0,Westerleigh,103,,,23.724,37.976,28.55,15.145,17.495,34.2,39.919,20.311,22.738,24.455,21.328,6.021,23.467,11.397,19.663,23.128,21.166,20.548,15.126,20.446,20.299,22.865,15.59,14.836,18.777,17.389,23.934,16.273,20.204,86.458,26.039,19.409,20.123,15.043,21.289,20.856,22.892,20.937,258.595,20.859,8.851,9.11,9.469,0.447,0.529,1.057,0,0,0,1,0,32.71,inf,103,233.15283,130.15283203125
33899066,-73.98605,40.71697,4,16,1,16,Manhattan,Entire home/apt,6,2,3,3,Real Bed,1,1,100,1,0,0,1.2624,within an hour,3,1,0,,329,,,7.721,21.815,12.5,5.882,1.81,17.466,22.922,15.285,16.629,19.497,19.029,11.159,7.191,5.816,3.542,7.237,5,4.663,2.334,4.046,5.462,6.562,1.5,2.274,2.702,1.677,8.274,0.924,4.037,73.751,10.263,3.67,4.387,2.314,5.193,4.116,7.132,4.681,246.51,4.721,0.19,0.252,0.502,0.141,0.16,0.214,0,1,0,0,0,62.77,inf,329,466.22632,137.226318359375
17376723,-73.99354,40.7621,0,8,2,19,Manhattan,Entire home/apt,5,1,2,4,Real Bed,4,80,81,1,0,0,4.3095,within an hour,3,1,0,Hell's Kitchen,178,,,3.325,17.609,13.106,10.923,3.492,13.894,19.882,20.046,21.161,24.054,23.904,14.915,3.183,9.171,1.627,2.725,1.339,0.793,5.71,1.728,0.681,2.67,6.193,6.369,2.356,3.643,3.572,5.231,1.373,68.756,5.686,1.388,0.742,5.857,1.29,2.483,2.489,1.433,241.51,1.216,0.622,0.638,0.817,0.048,0.113,0.212,0,1,0,0,0,62.77,inf,178,334.3456,156.34561157226562
