id,daily,weekly,monthly
68765,250,"1,750.00","7,500.00"
68900,125,700,"2,500.00"
68974,575,,
69894,150,,"3,000.00"
69921,70,400,"1,400.00"
70095,90,500,"2,200.00"
70609,500,"3,689.00",
71010,250,"3,150.00","10,000.00"
71248,125,700,"2,500.00"
71366,200,,"4,500.00"
71384,229,"1,200.00","4,000.00"
71812,90,500,"1,950.00"
72190,110,900,"3,000.00"
72265,59,340,"1,190.00"
74073,195,,
74240,169,"1,565.00","4,699.00"
74333,113,,"2,300.00"
74680,115,700,"2,700.00"
74860,55,,
75193,69,449,"1,399.00"
75635,150,,
76761,169,,
77765,179,,
77936,150,"1,000.00","3,000.00"
78919,135,875,
79067,350,,"10,000.00"
79782,120,700,"1,850.00"
80493,71,540,"1,600.00"
80684,349,,
80700,349,,
80924,165,,
81739,249,,
82549,100,,
82550,200,,
82638,169,,
82928,185,,
83243,65,,
83446,130,,
83722,199,,"4,700.00"
83847,225,,
84010,179,,
84059,150,,
84659,139,,
85094,79,,
86215,150,,
89427,650,,
89621,90,630,"2,520.00"
93313,120,"1,000.00","3,000.00"
94209,100,"1,000.00","3,000.00"
94477,175,"1,220.00","3,100.00"
94783,120,"1,000.00","2,850.00"
95747,140,,"3,500.00"
95883,200,"1,150.00",
96471,165,,
98330,125,,
98663,130,"1,200.00","2,500.00"
99070,65,,"1,695.00"
99085,123,800,"2,150.00"
100002,67,415,"1,450.00"
100186,130,,
101053,100,,"3,500.00"
102995,212,"1,702.00","6,000.00"
103161,215,,
103311,599,,
103806,249,,
105469,70,,
105510,100,750,"2,250.00"
106363,60,,"1,650.00"
106647,135,850,"3,000.00"
107630,175,,
107895,120,,"3,200.00"
110739,169,,
112100,165,"1,100.00","3,400.00"
112304,90,,
112359,225,"1,450.00","4,500.00"
112435,95,,
113265,55,,"1,550.00"
114123,199,"1,499.00","4,990.00"
114229,211,,
114969,145,,"3,500.00"
115535,65,450,"1,300.00"
115678,99,,
115748,110,850,"2,000.00"
116940,80,560,"2,240.00"
117425,150,"1,244.00","4,200.00"
118061,110,700,"2,300.00"
118680,87,500,"1,700.00"
120362,190,,"2,500.00"
121687,200,"1,250.00",
121861,165,"1,050.00",
123784,110,735,"3,200.00"
125163,99,693,"2,970.00"
125594,39,,
126443,189,"2,793.00","8,500.00"
126816,85,525,
127387,260,"1,700.00","4,600.00"
128975,122,900,"3,750.00"
131154,165,,
132516,97,,
132570,170,,
132695,125,750,"2,300.00"
133025,130,900,"1,900.00"
134934,225,"1,500.00","6,000.00"
135393,50,,
135465,170,"1,100.00","3,600.00"
135706,132,"1,120.00","2,415.00"
136493,250,"1,500.00","5,500.00"
138216,141,,
139624,60,550,"1,740.00"
140133,249,"1,699.00","5,500.00"
140425,79,,
140973,185,"1,200.00",
141154,120,700,
141335,495,"3,300.00","11,000.00"
141890,375,"2,500.00",
141984,175,,
142069,150,,"3,500.00"
144087,259,,
144148,96,,
145064,145,"1,000.00","3,600.00"
145188,200,"1,200.00","3,500.00"
145994,95,,
146754,250,"1,700.00",
147586,295,,
148201,175,"1,225.00",
148259,451,,"6,500.00"
148825,165,"1,100.00",
149287,250,600,"2,500.00"
149777,77,400,
150804,250,,"6,500.00"
151199,129,850,"3,500.00"
151478,98,615,"1,520.00"
152071,150,900,
152259,55,385,"1,265.00"
152263,300,"2,003.00",
152520,42,,"1,180.00"
153405,125,,"4,000.00"
153780,175,"1,200.00","3,800.00"
154934,75,574,"1,500.00"
155296,255,,"5,200.00"
157673,72,680,"1,700.00"
158061,165,650,"2,600.00"
158176,165,,
158290,75,405,"1,500.00"
158913,130,900,
158955,139,,"5,500.00"
159749,88,650,"1,450.00"
159815,80,600,"1,350.00"
159913,150,"1,800.00","4,500.00"
160609,200,"2,000.00",
160994,200,"1,400.00",
161366,42,,"1,080.00"
161394,90,420,"1,800.00"
161996,295,"3,100.00","11,000.00"
162493,450,,
162508,130,950,"3,000.00"
163627,89,,
163809,198,903,
163814,99,,"3,600.00"
163836,46,450,"1,500.00"
164989,140,850,"2,200.00"
165080,500,"2,700.00","10,000.00"
165461,75,650,"1,950.00"
165824,33,,850
166006,250,"1,100.00","4,400.00"
166172,60,,
166541,75,449,"1,449.00"
166983,350,"1,450.00","5,000.00"
167013,205,,
167017,219,"1,599.00",
167222,60,600,"1,800.00"
167482,185,"1,295.00","4,700.00"
168084,190,,
168123,105,700,
169002,65,395,
169152,75,,
169464,85,760,"2,300.00"
169483,106,,
170420,79,,
170761,85,,
171776,170,"1,365.00","5,460.00"
172700,115,,"1,800.00"
172870,89,650,"2,500.00"
173072,49,,
173151,91,,
173742,400,"2,700.00","8,500.00"
174527,150,495,"2,100.00"
174966,"2,000.00",,"15,000.00"
176135,97,650,"2,200.00"
176653,100,500,
177421,500,,
177495,429,"1,450.00",
177606,189,,
179670,130,,
179741,300,,
180507,107,,"4,500.00"
180792,95,,"2,950.00"
181972,199,,
182069,120,,"3,400.00"
182095,199,,
182177,125,,
182649,70,400,
185266,75,,"1,250.00"
187566,99,700,"2,700.00"
187986,250,"1,500.00",
188146,350,,
188661,170,,
188674,165,,
189135,95,,
189181,255,,
189732,169,970,"3,400.00"
189787,109,,
190267,169,,"3,800.00"
190542,160,,
190968,215,"1,700.00",
190974,130,,
191075,110,800,"3,100.00"
193105,150,,"2,499.00"
193333,65,600,"1,900.00"
193393,75,,
193853,149,,
194154,89,,
195123,50,,
195233,43,385,"1,450.00"
195240,42,385,"1,450.00"
195578,85,450,
195971,139,950,"2,800.00"
195989,105,650,
196010,265,,
197155,149,,
197753,68,500,"1,800.00"
197942,99,,
199195,75,570,"1,450.00"
199312,100,630,"1,860.00"
200645,90,780,
200955,160,"1,175.00","2,800.00"
201992,190,,
202273,67,,
203901,190,,
204065,248,"1,498.00","3,788.00"
204833,100,,
205043,150,"1,050.00","4,500.00"
205485,145,900,"3,200.00"
205735,41,400,"1,150.00"
205867,120,800,"2,500.00"
206071,50,,
206316,157,887,
206772,185,"1,000.00","3,900.00"
206957,70,595,"2,100.00"
208148,185,,
208889,145,950,"2,200.00"
209310,50,,"1,350.00"
211078,185,,
211974,250,,
212109,80,595,"2,200.00"
212178,230,,
212544,100,700,"2,400.00"
213272,40,400,930
214917,80,500,"1,650.00"
215560,79,495,"1,450.00"
215784,95,,"2,450.00"
215907,300,,
217580,100,875,"2,700.00"
218358,80,300,"1,250.00"
219066,110,700,"1,500.00"
219482,172,"1,500.00","5,000.00"
219922,100,600,"2,000.00"
220351,55,350,"1,100.00"
220563,75,,
220946,146,999,"3,108.00"
221043,250,,"4,200.00"
221097,116,500,"1,700.00"
221618,150,380,
222054,120,800,"2,300.00"
222304,199,,
223930,150,,
224006,300,"1,650.00","3,300.00"
224510,230,"1,500.00",
225297,125,,
225306,79,495,"1,450.00"
225887,130,,
225926,239,,
225976,75,500,"1,100.00"
226021,220,"1,180.00","3,600.00"
227715,80,560,"2,240.00"
227735,288,,"5,500.00"
228317,135,900,"2,900.00"
228496,225,"1,900.00",
228517,110,750,"2,900.00"
228925,100,650,"2,200.00"
228979,130,850,"2,600.00"
229367,89,,
229874,200,"1,200.00",
230321,80,575,"1,900.00"
230854,50,,
230877,135,,"3,400.00"
230956,90,,
231414,270,,
232612,110,599,
232618,145,800,
233189,179,,
233638,55,385,
233662,110,925,"2,800.00"
234184,311,"2,100.00","5,000.00"
234870,75,450,"1,300.00"
235552,300,,
235651,120,"1,200.00","3,300.00"
235951,190,"1,200.00","2,750.00"
235960,200,"1,190.00","4,200.00"
236671,180,,
236788,350,,
236806,160,980,
237127,195,,
237210,241,"1,874.00","4,200.00"
239055,300,"1,950.00","5,000.00"
239733,75,,"2,108.00"
239766,100,,
239826,399,"2,000.00","6,500.00"
239883,85,625,"1,950.00"
239899,80,430,"1,550.00"
240800,55,415,"1,285.00"
241140,438,,
241159,110,,
241862,200,,
242532,279,,
242643,137,"1,000.00","3,000.00"
243229,280,,
243708,199,,
245504,71,,
245544,42,200,
245574,180,"1,000.00","3,600.00"
245607,226,"1,737.00","6,132.00"
246134,85,455,"1,800.00"
246351,135,800,"2,900.00"
246916,79,,"1,499.00"
246938,154,,
248865,199,,
248871,700,"4,500.00",
249414,246,,
249618,125,250,725
249867,100,450,"1,500.00"
250259,295,"1,400.00","4,900.00"
250311,150,,"2,550.00"
250323,119,,
250536,125,850,"2,250.00"
250537,400,950,"2,500.00"
250801,850,,
251262,129,,
251277,140,,
252076,115,750,
252607,200,600,"2,500.00"
253332,96,"1,100.00","5,000.00"
253466,199,,
253471,199,,
253475,199,,
253590,185,"1,500.00","4,500.00"
253623,81,,
253800,199,,
253803,199,,
253806,199,,
253811,199,,
253815,199,,
253828,349,,
253839,249,,
253842,299,,
253846,179,,
254168,599,,
254409,110,650,"2,250.00"
255024,220,,
255476,89,699,"2,249.00"
255601,170,"1,100.00","4,000.00"
255957,495,,
256078,75,,
256369,98,672,
257097,125,,"2,500.00"
257568,48,,
257787,64,,
258284,154,,
258397,139,,
258686,75,500,"2,015.00"
258688,325,,
258690,195,"1,900.00","4,000.00"
258740,58,400,"1,350.00"
258838,250,"1,500.00","5,500.00"
258876,50,350,"1,200.00"
259946,125,800,
260451,70,650,"2,453.00"
260765,189,,
261194,130,950,"3,300.00"
261259,145,,
261344,101,800,"1,850.00"
261674,95,500,"2,000.00"
261781,375,,
262343,153,"1,250.00","3,800.00"
262405,92,,
262478,80,445,
262583,300,,
263005,145,665,"2,600.00"
263190,88,,
263232,155,,
263502,185,,
263776,73,,
263888,199,,"5,800.00"
264323,85,,
265036,99,,
265064,48,,960
265145,200,,
