,Unnamed: 0,id,house_ln,house_la,subway,bus_stop,street,room_type,bedroom,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate
57,57,15341,-73.99775,40.7221,10,2,New York,Entire home/apt,1,2,19,92.0,1,0,0,1.6704
58,58,15385,-73.96204,40.71185,0,3,Brooklyn,Private room,1,1,41,96.0,0,1,0,0.9672
59,59,15396,-73.9953,40.74623,5,11,New York,Entire home/apt,2,2,5,100.0,1,0,0,1.8733
60,60,15711,-73.95269,40.77065,0,23,New York,Entire home/apt,2,6,66,93.0,1,0,0,0.9315
61,61,16326,-73.96428,40.67811,0,6,Brooklyn,Entire home/apt,4,8,143,99.0,1,0,0,0.9147
62,62,16338,-73.96788000000002,40.69,1,8,Brooklyn,Private room,1,1,27,92.0,0,1,0,1.8669
63,63,16421,-73.99119,40.75979,11,8,New York,Private room,1,1,191,89.0,0,1,0,9.9753
64,64,16458,-73.98338000000003,40.67343,1,3,Brooklyn,Entire home/apt,2,1,4,100.0,1,0,0,0.9893
65,65,16580,-73.97904,40.72649000000001,0,17,New York,Private room,1,1,326,95.0,0,1,0,1.1773
66,66,16595,-73.96791999999998,40.70933,0,1,Brooklyn,Entire home/apt,1,1,145,93.0,1,0,0,0.9672
67,67,16821,-73.98474,40.72298,1,17,New York,Private room,1,1,102,93.0,0,1,0,1.1773
68,68,16974,-73.93921999999998,40.80164,3,14,New York,Entire home/apt,4,4,185,96.0,1,0,0,2.4892
69,69,17037,-73.98008,40.72162,0,11,New York,Entire home/apt,1,1,49,96.0,1,0,0,1.1773
70,70,17092,-73.98865,40.76342,3,8,New York,Private room,1,1,22,90.0,0,1,0,4.3095
71,71,17693,-73.94095,40.83139,4,19,New York,Private room,1,1,46,97.0,0,1,0,0.9876
72,72,17747,-73.96374,40.68346,1,7,Brooklyn,Private room,1,1,100,98.0,0,1,0,1.8669
73,73,18127,-73.98801,40.72828,3,9,New York,Entire home/apt,1,1,21,97.0,1,0,0,1.1773
74,74,18198,-73.90334,40.75038,2,3,Queens,Private room,1,1,24,100.0,0,1,0,0.9628
75,75,18590,-73.97267,40.6932,0,6,Brooklyn,Private room,1,2,140,97.0,0,1,0,1.8669
76,76,18728,-74.00197,40.74138,9,5,New York,Private room,1,1,167,99.0,0,1,0,1.8733
77,77,18764,-73.96112,40.71154,3,3,Brooklyn,Private room,2,2,61,88.0,0,1,0,0.9672
78,78,19159,-73.95136,40.82915,1,6,New York,Entire home/apt,2,2,54,94.0,1,0,0,0.9558
79,79,19169,-73.98892,40.71851,6,8,New York,Entire home/apt,2,2,69,87.0,1,0,0,1.2624
80,80,19282,-73.96323000000002,40.65401,2,2,Brooklyn,Entire home/apt,1,3,14,92.0,1,0,0,0.6162
81,81,19319,-73.98794000000002,40.7114,1,12,New York,Private room,1,1,94,98.0,0,1,0,1.2624
82,82,19601,-73.99268000000002,40.69723,9,6,Brooklyn,Entire home/apt,3,6,25,93.0,1,0,0,2.1164
83,83,19812,-73.95748,40.71833,1,0,Brooklyn,Entire home/apt,1,2,61,90.0,1,0,0,0.9601
84,84,20299,-73.9844,40.72334,1,18,New York,Private room,1,1,190,92.0,0,1,0,1.1773
85,85,20300,-73.98057,40.72912,1,20,New York,Private room,1,1,2,60.0,0,1,0,1.1773
86,86,20611,-73.96218,40.71156,0,3,Brooklyn,Private room,1,2,171,94.0,0,1,0,0.9672
87,87,20724,-73.9383,40.70032,3,8,Brooklyn,Private room,1,1,23,88.0,0,1,0,0.9855
88,88,20734,-73.97261,40.68233,10,5,Brooklyn,Entire home/apt,1,1,163,98.0,1,0,0,0.9893
89,89,20755,-73.96600000000002,40.68634,2,9,Brooklyn,Private room,1,1,15,86.0,0,1,0,1.8669
90,90,20853,-73.97162,40.68035,4,7,Brooklyn,Entire home/apt,2,4,21,99.0,1,0,0,0.9893
91,91,20913,-73.95775,40.70984,3,6,Brooklyn,Entire home/apt,1,1,168,81.0,1,0,0,0.9672
92,92,21293,-73.92609,40.70093,1,6,Brooklyn,Entire home/apt,1,2,114,89.0,1,0,0,0.9855
93,93,21456,-73.96177,40.79764,2,14,New York,Entire home/apt,1,2,78,94.0,1,0,0,0.8454
94,94,21644,-73.94731,40.82803,5,14,New York,Private room,1,1,1,100.0,0,1,0,0.9558
95,95,21794,-74.00271,40.74008,9,4,New York,Private room,1,1,30,99.0,0,1,0,1.8733
96,96,22911,-73.92357,40.68413,0,7,Brooklyn,Entire home/apt,1,1,139,92.0,1,0,0,1.977
97,97,22918,-73.95139,40.82279000000001,1,21,New York,Private room,1,1,11,84.0,0,1,0,0.9558
98,98,23135,-74.00154,40.67967,0,4,Brooklyn,Entire home/apt,2,1,230,93.0,1,0,0,0.4812
99,99,23501,-73.94281,40.83927,3,13,New York,Private room,1,1,68,94.0,0,1,0,0.9876
100,100,23686,-74.00319,40.73096,8,8,New York,Entire home/apt,3,4,46,88.0,1,0,0,2.282
101,101,24143,-73.94176999999998,40.71332,1,11,Brooklyn,Private room,1,1,333,95.0,0,1,0,0.9672
102,102,24285,-73.98109000000002,40.66941,1,6,Brooklyn,Entire home/apt,4,9,88,96.0,1,0,0,0.9893
103,103,25235,-73.92376999999998,40.68373,0,8,Brooklyn,Entire home/apt,2,3,160,93.0,1,0,0,1.977
104,104,25406,-73.94844,40.71459,2,9,Brooklyn,Entire home/apt,1,2,29,92.0,1,0,0,0.9601
105,105,25696,-73.94421,40.8092,2,15,New York,Private room,1,1,166,95.0,0,1,0,1.466
106,106,26012,-73.98989,40.68157,2,0,Brooklyn,Entire home/apt,3,5,19,98.0,1,0,0,0.4812
107,107,26362,-73.99291,40.75527,11,10,New York,Private room,1,1,331,91.0,0,1,0,9.9753
108,108,26520,-73.96571999999998,40.68698,2,9,Brooklyn,Private room,1,1,16,93.0,0,1,0,1.8669
109,109,26785,-73.98912,40.66853,3,4,Brooklyn,Entire home/apt,1,2,467,99.0,1,0,0,0.9893
110,110,26933,-73.98156999999998,40.7254,0,16,New York,Entire home/apt,2,2,7,90.0,1,0,0,1.1773
111,111,26969,-73.95748,40.71942,1,0,Brooklyn,Entire home/apt,3,6,320,96.0,1,0,0,0.9601
112,112,27006,-73.97636999999997,40.77823,5,6,New York,Entire home/apt,2,3,27,92.0,1,0,0,0.7795
113,113,27385,-73.97965,40.72555,0,19,New York,Entire home/apt,1,2,111,94.0,1,0,0,1.1773
114,114,27531,-73.98604,40.66831,3,5,Brooklyn,Private room,1,1,354,98.0,0,1,0,0.9893
115,115,27644,-73.94919,40.82754,1,14,New York,Entire home/apt,1,4,189,95.0,1,0,0,0.9558
116,116,27659,-73.97925,40.66499,1,0,Brooklyn,Entire home/apt,4,1,16,95.0,1,0,0,0.9893
117,117,27759,-73.97556,40.77842,2,6,New York,Entire home/apt,1,1,12,90.0,1,0,0,0.7795
118,118,27883,-73.98527,40.72245,4,15,New York,Entire home/apt,1,2,25,97.0,1,0,0,1.1773
