id,house_ln,house_la,subway,bus_stop,park,scenery,borough,room_type,accommodates,bathroom,bedroom,beds,bed_type,guests,num_of_review,review_score,Entire_home,Private_room,Shared_room,crime_rate,host_response_time,response_time_num,host_response_rate,superhost,host_neighborhood,daily_price,weekly_price,monthly_price,Central_Park,Van_Cortlandt,Flushing_Meadows,Prospect_Park,Washington_Square_Park,Bronx_Park,Pelham_Bay_Park,Floyd_Bennet_Field,Jamaica_Bay,Jacob_Riis_Park,Fort_Tilden,Greenbelt,The_Metropolitan_Museum_of_Art,statue_of_liberty,Empire_state_Building,American_Museum_of_Natual_History,Museum_of_Modern_Art,Times_Square,One_world_trade_cente,Grand_Centreal_Terminal,intrepid_sea_air,Fifth_Avenue,Brooklyn_Bridge,Wall_Street,Flatiron_Building,New_York_University,Broadway,China_Town,New_york_Public_Library,West_Point_Academy,Columbia_University,Madison_Square_Garden,madame_tussauds_new_york,National_September_11_Memorial_Museum,Manhattan_Skyline,United_Nations_Headquarters,SOHO,St_Patrick_Cathedral,High_Line_Park,Top_of_the_Rock,sub_dist_1,sub_dist_2,sub_dist_3,bus_dist_1,bus_dist_2,bus_dist_3,Brooklyn,Manhattan,Queens,Staten,Bronx,ave_price,availability,Price_avg,True_price,Predict_price,errors
13496318,-73.97929,40.67885,3,3,1,5,Brooklyn,Entire home/apt,7,1.5,3,4,Real Bed,4,12,100,1,0,0,0.9893,within an hour,3,1,1,Park Slope,450,,,11.85,25.597,13.495,1.685,5.976,20.95,25.964,11.439,13.076,15.861,14.986,9.07,11.251,5.624,7.797,11.409,9.19,8.914,4.751,8.217,9.728,10.639,3.424,3.914,6.979,5.827,12.464,4.293,8.267,77.976,14.379,7.947,8.658,4.58,9.391,8.113,11.333,8.862,250.735,8.929,0.365,0.416,0.537,0.311,0.374,0.422,1,0,0,0,0,64.28571429,1,64.28571428571429,450,338.88223,-111.11776733398438
10368055,-73.9776,40.67992,9,4,1,5,Brooklyn,Entire home/apt,10,2.5,5,7,Real Bed,1,2,100,1,0,0,0.9893,,0,0,0,Park Slope,325,,,11.721,25.44,13.312,1.731,5.9,20.783,25.786,11.446,13.057,15.851,15.021,9.25,11.117,5.741,7.689,11.285,9.07,8.805,4.746,8.096,9.639,10.507,3.385,3.917,6.881,5.751,12.341,4.234,8.154,77.854,14.247,7.849,8.554,4.576,9.272,7.979,11.213,8.741,250.613,8.812,0.234,0.429,0.429,0.202,0.256,0.433,1,0,0,0,0,32.5,0,32.5,325,507.61346,182.61346435546875
10016124,-73.98095,40.74908,5,16,1,23,Manhattan,Entire home/apt,6,1,3,3,Real Bed,1,1,80,1,0,0,1.1501,within a few hours,2,0.92,0,Murray Hill,170,,,4.144,18.381,11.854,9.338,2.455,14.282,20.033,18.295,19.377,22.27,22.179,14.224,3.674,8.544,0.378,3.643,1.407,1.147,4.85,0.516,2.419,3.043,4.932,5.335,1.154,2.577,4.678,4.004,0.468,70.171,6.682,0.9,1.059,4.96,1.597,1.139,3.537,1.097,242.93,1.125,0.347,0.436,0.457,0.096,0.205,0.205,0,1,0,0,0,28.33333333,0,28.333333333333332,170,276.51266,106.51266479492188
31120563,-73.97075,40.68187,3,5,1,5,Brooklyn,Entire home/apt,15,3,5,8,Real Bed,1,3,100,1,0,0,0.9893,within an hour,3,1,0,,1750,,,11.48,25.064,12.703,1.818,5.886,20.355,25.289,11.287,12.808,15.63,14.949,9.865,10.853,6.277,7.546,11.065,8.872,8.65,4.978,7.898,9.563,10.252,3.531,4.184,6.779,5.743,12.127,4.298,7.987,77.63,13.991,7.745,8.425,4.817,9.077,7.723,11.01,8.541,250.384,8.626,0.384,0.442,0.543,0.256,0.324,0.471,1,0,0,0,0,116.6666667,1,116.66666666666667,1750,591.34216,-1158.6578369140625
9937667,-73.97844,40.76542,10,10,1,20,Manhattan,Entire home/apt,6,2.5,3,4,Real Bed,1,5,88,1,0,0,4.3095,within a few hours,2,0.92,0,Murray Hill,175,,,2.349,16.663,11.943,11.131,4.163,12.751,18.664,19.904,20.878,23.769,23.833,15.865,2.001,10.138,1.938,1.82,0.443,0.919,6.528,1.415,1.884,1.417,6.743,7.085,2.865,4.3,2.849,5.802,1.4,68.35,4.87,2.069,1.347,6.655,0.236,1.811,1.709,0.773,241.109,0.704,0.181,0.205,0.392,0.134,0.199,0.203,0,1,0,0,0,29.16666667,0,29.166666666666668,175,496.2662,321.2662048339844
3269281,-73.98143,40.67751,1,1,1,5,Brooklyn,Entire home/apt,4,2,2,2,Real Bed,1,49,99,1,0,0,0.9893,within an hour,3,1,0,Park Slope,100,,,12.014,25.795,13.726,1.656,6.078,21.16,26.188,11.435,13.106,15.878,14.946,8.843,11.422,5.481,7.936,11.567,9.343,9.055,4.767,8.372,9.843,10.807,3.485,3.921,7.107,5.928,12.619,4.377,8.413,78.128,14.545,8.073,8.791,4.593,9.543,8.285,11.486,9.016,250.888,9.079,0.143,0.649,0.719,0.153,0.571,0.602,1,0,0,0,0,25,1,25.0,100,255.87492,155.8749237060547
11619745,-73.991,40.76406,2,7,2,19,Manhattan,Entire home/apt,5,1,3,3,Real Bed,1,3,100,1,0,0,4.3095,within an hour,3,0.99,0,Upper East Side,185,,,3.021,17.312,12.94,11.101,3.734,13.588,19.579,20.159,21.244,24.137,24.033,15.208,2.881,9.464,1.759,2.422,1.159,0.758,5.982,1.716,0.829,2.377,6.425,6.628,2.554,3.883,3.283,5.463,1.417,68.53,5.395,1.597,0.872,6.127,1.073,2.419,2.19,1.316,241.286,1.102,0.459,0.656,0.74,0.084,0.17,0.198,0,1,0,0,0,37,0,37.0,185,286.81033,101.81033325195312
33812239,-73.98151,40.72919,1,22,1,19,Manhattan,Entire home/apt,8,1.5,3,4,Real Bed,1,5,100,1,0,0,1.1773,within an hour,3,0.98,0,East Village,290,,,6.315,20.414,11.915,7.147,1.345,16.114,21.65,16.304,17.517,20.403,20.127,12.431,5.78,6.926,2.207,5.84,3.606,3.317,3.225,2.643,4.28,5.151,2.852,3.456,1.495,1.324,6.884,2.024,2.667,72.383,8.857,2.435,3.087,3.276,3.802,2.717,5.746,3.283,245.143,3.335,0.196,0.563,0.811,0.058,0.181,0.235,0,1,0,0,0,36.25,1,36.25,290,462.77057,172.77056884765625
30764972,-73.94298,40.66062,0,6,1,0,Brooklyn,Entire home/apt,12,2.5,6,9,Real Bed,1,1,100,1,0,0,0.8737,within an hour,3,0.99,0,East Flatbush,599,,,14.004,26.821,12.312,2.323,9.052,21.843,26.216,8.043,9.483,12.315,11.843,11.399,13.309,9.139,10.439,13.67,11.59,11.491,8.304,10.64,12.568,12.756,6.85,7.503,9.779,8.916,14.73,7.568,10.811,80.005,16.42,10.72,11.332,8.143,11.799,10.296,13.667,11.262,252.713,11.383,0.705,0.752,0.979,0.281,0.297,0.424,1,0,0,0,0,49.91666667,0,49.916666666666664,599,400.0041,-198.99591064453125
6860656,-73.95622,40.82094,1,14,0,5,Manhattan,Private room,2,1,1,2,Real Bed,2,13,91,0,1,0,0.9558,within an hour,3,1,0,,185,500,1500,4.114,10.403,13.268,17.318,10.602,7.436,13.722,25.337,25.934,28.769,29.375,22.17,4.667,16.425,8.388,4.636,6.853,7.316,12.931,7.787,7.284,5.284,13.188,13.526,9.314,10.742,3.687,12.251,7.849,62.164,1.583,8.462,7.695,13.067,6.673,7.805,4.805,7.161,234.902,7.148,0.245,0.623,0.795,0.08,0.082,0.135,0,1,0,0,0,92.5,0,92.5,185,73.478485,-111.52151489257812
